element,position,team_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,code,web_name,first_name,second_name,element_type
248,1,CLAMBORGER,90,0,0,0,3,0,0,0,0,0,4,0,3,1,0.0,0.0,0.0,1.57,2,false,80201,Leno,Bernd,Leno,1
3,2,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,0,0,5,1,0.2,0.04,0.24,0.65,2,false,226597,Gabriel,Gabriel,dos Santos Magalhães,2
495,3,CLAMBORGER,90,0,0,0,3,0,0,0,0,0,0,0,4,1,0.03,0.19,0.22,1.82,1,false,441164,Pedro Porro,Pedro,Porro,2
363,4,CLAMBORGER,28,0,0,0,1,0,0,0,0,0,0,0,-1,0,0.0,0.0,0.0,0.86,1,false,58621,Walker,Kyle,Walker,2
45,5,CLAMBORGER,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.09,0.09,0.1,1,false,441302,Maatsen,Ian,Maatsen,2
369,6,CLAMBORGER,90,0,0,1,0,0,0,0,0,0,0,0,25,1,0.0,0.01,0.01,0.42,6,false,216051,Dalot,Diogo,Dalot Teixeira,2
199,7,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,0,0,10,1,0.24,0.2,0.44,1.4,2,false,232413,Eze,Eberechi,Eze,3
336,8,CLAMBORGER,45,0,0,0,0,0,0,0,0,0,0,0,9,0,0.04,0.06,0.1,0.57,1,false,424876,Szoboszlai,Dominik,Szoboszlai,3
117,9,CLAMBORGER,81,1,0,1,0,0,0,0,0,0,0,3,40,1,0.3,0.15,0.45,1.66,11,true,536916,Buonanotte,Facundo,Buonanotte,3
216,10,CLAMBORGER,59,0,0,0,1,0,0,0,0,0,0,0,3,1,0.0,0.02,0.02,0.87,1,false,496221,Wharton,Adam,Wharton,3
58,11,CLAMBORGER,90,0,0,1,0,0,0,0,0,0,0,0,4,1,0.06,0.06,0.12,0.52,2,false,178301,Watkins,Ollie,Watkins,4
142,12,CLAMBORGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,false,49262,Steele,Jason,Steele,1
413,1,Choochie Maserati,90,0,0,1,0,0,0,0,0,0,2,0,24,1,0.0,0.0,0.0,0.67,6,false,98747,Pope,Nick,Pope,1
361,2,Choochie Maserati,90,0,0,0,2,0,0,0,0,0,0,0,5,1,0.05,0.04,0.09,2.6,1,false,171314,Rúben,Rúben,Gato Alves Dias,2
369,3,Choochie Maserati,90,0,0,1,0,0,0,0,0,0,0,0,25,1,0.0,0.01,0.01,0.42,6,false,216051,Dalot,Diogo,Dalot Teixeira,2
200,4,Choochie Maserati,90,0,0,0,1,0,0,0,0,0,0,0,13,1,0.0,0.01,0.01,1.4,2,false,209036,Guéhi,Marc,Guéhi,2
494,5,Choochie Maserati,84,1,0,0,3,0,0,0,0,0,0,3,33,1,0.23,0.03,0.26,1.82,10,false,172780,Maddison,James,Maddison,3
385,6,Choochie Maserati,63,0,0,1,0,0,0,0,1,0,0,0,7,1,0.18,0.01,0.19,0.28,2,false,176297,Rashford,Marcus,Rashford,3
19,7,Choochie Maserati,25,0,0,0,1,0,0,0,0,0,0,0,4,0,0.0,0.01,0.01,0.23,1,false,209289,Smith Rowe,Emile,Smith Rowe,3
346,8,Choochie Maserati,28,1,0,0,1,0,0,0,0,0,0,0,24,0,0.06,0.0,0.06,0.86,6,false,248875,Doku,Jérémy,Doku,3
251,9,Choochie Maserati,13,1,0,0,1,0,0,0,0,0,0,1,28,0,0.22,0.0,0.22,0.23,6,false,244042,Muniz,Rodrigo,Muniz Carvalho,4
207,10,Choochie Maserati,30,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0.07,0.07,0.52,1,false,231747,Mateta,Jean-Philippe,Mateta,4
2,11,Choochie Maserati,59,0,0,0,1,0,0,0,0,0,0,0,9,1,0.38,0.06,0.44,0.32,1,false,205651,G.Jesus,Gabriel,Fernando de Jesus,4
554,12,Choochie Maserati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,false,149065,José Sá,José,Malheiro de Sá,1
366,15,Choochie Maserati,90,0,0,1,0,0,0,0,0,0,0,0,14,1,0.04,0.02,0.06,0.42,3,false,141746,B.Fernandes,Bruno,Borges Fernandes,3
310,1,Love to My Lover,78,0,0,1,0,0,0,0,0,0,4,3,32,1,0.0,0.0,0.0,0.5,10,false,116535,A.Becker,Alisson,Ramses Becker,1
3,2,Love to My Lover,90,0,0,0,1,0,0,0,0,0,0,0,5,1,0.2,0.04,0.24,0.65,2,false,226597,Gabriel,Gabriel,dos Santos Magalhães,2
