element,position,team_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,code,web_name,first_name,second_name,element_type
235,1,CLAMBORGER,90,0,0,0,1,0,0,0,1,0,3,0,9,1,0.0,0.01,0.01,0.95,2,false,111234,Pickford,Jordan,Pickford,1
200,2,CLAMBORGER,90,1,0,0,2,0,0,0,0,0,0,2,30,1,0.18,0.1,0.28,0.89,9,true,209036,Guéhi,Marc,Guéhi,2
44,3,CLAMBORGER,90,0,0,0,2,0,0,0,0,0,0,0,6,1,0.0,0.02,0.02,1.18,1,false,199798,Konsa,Ezri,Konsa Ngoyo,2
36,4,CLAMBORGER,83,0,0,0,2,0,0,0,1,0,0,0,4,1,0.0,0.02,0.02,1.12,0,false,101188,Digne,Lucas,Digne,2
422,5,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,0,0,10,1,0.0,0.31,0.31,1.33,2,false,159506,Aina,Ola,Aina,2
587,6,CLAMBORGER,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0.05,0.0,0.05,0.04,1,false,450070,Summerville,Crysencio,Summerville,3
78,7,CLAMBORGER,88,1,0,0,1,0,0,0,0,0,0,0,24,1,0.2,0.1,0.3,0.6,7,false,437730,Semenyo,Antoine,Semenyo,3
230,8,CLAMBORGER,82,2,0,0,1,0,0,0,0,0,0,3,46,1,0.25,0.21,0.46,0.92,15,true,433154,McNeil,Dwight,McNeil,3
54,9,CLAMBORGER,63,1,0,0,1,0,0,0,0,0,0,0,14,1,0.24,0.14,0.38,0.55,7,false,244850,Rogers,Morgan,Rogers,3
58,10,CLAMBORGER,83,1,1,0,2,0,0,0,0,0,0,2,38,1,0.4,0.13,0.53,1.12,11,true,178301,Watkins,Ollie,Watkins,4
220,11,CLAMBORGER,90,0,0,0,1,0,0,0,1,0,0,0,-8,1,0.34,0.01,0.35,0.95,1,false,177815,Calvert-Lewin,Dominic,Calvert-Lewin,4
413,12,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,5,0,14,1,0.0,0.0,0.0,0.91,3,false,98747,Pope,Nick,Pope,1
433,13,CLAMBORGER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,false,222531,Gibbs-White,Morgan,Gibbs-White,3
409,15,CLAMBORGER,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.24,1,false,441191,Livramento,Tino,Livramento,2
443,1,Choochie Maserati,90,0,0,0,1,0,0,0,0,0,1,0,5,1,0.0,0.04,0.04,1.33,2,false,85633,Sels,Matz,Sels,1
210,2,Choochie Maserati,90,0,0,0,2,0,0,0,0,0,0,0,14,1,0.0,0.01,0.01,0.89,1,false,244723,Mitchell,Tyrick,Mitchell,2
436,3,Choochie Maserati,90,0,0,0,1,0,0,0,1,0,0,0,5,1,0.0,0.15,0.15,1.33,1,false,575476,Murillo,Murillo,Santiago Costa dos Santos,2
291,4,Choochie Maserati,90,0,0,0,4,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,4.6,0,false,218218,Faes,Wout,Faes,2
88,5,Choochie Maserati,90,0,0,0,1,0,0,0,0,0,0,0,10,1,0.0,0.05,0.05,0.99,2,false,432830,Collins,Nathan,Collins,2
45,6,Choochie Maserati,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.07,1,false,441302,Maatsen,Ian,Maatsen,2
99,7,Choochie Maserati,90,1,0,0,1,0,0,0,0,0,0,2,27,1,0.25,0.41,0.66,0.99,9,false,446008,Mbeumo,Bryan,Mbeumo,3
514,8,Choochie Maserati,90,0,0,0,1,0,0,0,0,0,0,0,9,1,0.08,0.25,0.33,0.37,2,false,178186,Bowen,Jarrod,Bowen,3
