element,position,team_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,code,web_name,first_name,second_name,element_type
413,1,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,4,0,12,1,0.0,0.0,0.0,0.99,3,false,98747,Pope,Nick,Pope,1
36,2,CLAMBORGER,68,0,1,0,2,0,0,0,0,0,0,0,26,1,0.0,0.68,0.68,0.67,4,false,101188,Digne,Lucas,Digne,2
409,3,CLAMBORGER,63,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.84,2,false,441191,Livramento,Tino,Livramento,2
200,4,CLAMBORGER,90,0,0,0,2,0,0,0,0,0,0,0,6,1,0.0,0.04,0.04,1.23,1,false,209036,Guéhi,Marc,Guéhi,2
145,5,CLAMBORGER,90,0,0,1,0,0,0,0,1,0,0,2,31,1,0.0,0.02,0.02,0.35,7,false,111478,Veltman,Joël,Veltman,2
587,6,CLAMBORGER,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.01,0.01,0.76,1,false,450070,Summerville,Crysencio,Summerville,3
230,7,CLAMBORGER,90,1,1,0,3,0,0,0,0,0,0,2,47,1,0.02,0.87,0.89,2.12,12,true,433154,McNeil,Dwight,McNeil,3
54,8,CLAMBORGER,90,0,0,0,2,0,0,0,0,0,0,0,3,1,0.23,0.04,0.27,0.9,2,false,244850,Rogers,Morgan,Rogers,3
78,9,CLAMBORGER,90,0,0,0,1,0,0,0,1,0,0,0,4,1,0.1,0.03,0.13,0.78,1,false,437730,Semenyo,Antoine,Semenyo,3
220,10,CLAMBORGER,90,1,0,0,3,0,0,0,0,0,0,0,21,1,0.76,0.0,0.76,2.12,6,false,177815,Calvert-Lewin,Dominic,Calvert-Lewin,4
58,11,CLAMBORGER,83,2,0,0,2,0,0,0,0,0,0,3,52,1,1.18,0.07,1.25,0.81,13,true,178301,Watkins,Ollie,Watkins,4
235,12,CLAMBORGER,90,0,0,0,3,0,0,0,0,0,4,0,7,1,0.0,0.01,0.01,2.12,2,false,111234,Pickford,Jordan,Pickford,1
433,13,CLAMBORGER,80,0,0,1,0,0,0,0,0,0,0,0,6,1,0.02,0.05,0.07,0.85,3,false,222531,Gibbs-White,Morgan,Gibbs-White,3
